iter	RMSE
0	151695.7462
1	147058.4005
2	142947.7596
3	139314.566
4	136081.4599
5	133053.537
6	130332.1448
7	127815.0277
8	125484.9534
9	123509.2951
10	121425.6427
11	119764.0758
12	117939.5226
13	116470.4346
14	115143.633
15	113618.7856
16	112284.1231
17	111045.1925
18	109979.4358
19	108982.854
20	108072.8384
21	106879.5155
22	106035.8212
23	105391.2534
24	104764.2317
25	104048.2854
26	103463.5478
27	102924.0193
28	102283.4556
29	101660.8785
30	100980.6647
31	100522.53
32	99981.20605
33	99548.13602
34	99157.19907
35	98795.55937
36	98401.51285
37	97820.69377
38	97297.56328
39	97014.66694
40	96747.34981
41	96473.60498
42	96162.2003
43	95902.11759
44	95399.62113
45	95135.50042
46	94838.45409
47	94642.59232
48	94436.57001
49	94225.3804
50	93988.10888
51	93807.18056
52	93631.29581
53	93481.38078
54	93318.92998
55	93165.71523
56	92998.75003
57	92636.53712
58	92459.68749
59	92084.7804
60	91845.54156
61	91721.62781
62	91610.7219
63	91327.15297
64	91021.97302
65	90786.18053
66	90679.55283
67	90441.12054
68	90277.55868
69	90107.37453
70	89947.9259
71	89751.66765
72	89619.09608
73	89492.6467
74	89297.60034
75	89014.96316
76	88924.04669
77	88826.6414
78	88711.43026
79	88547.51782
80	88390.59772
81	88296.06632
82	88227.37239
83	88136.81066
84	88012.55432
85	87946.01691
86	87785.77292
87	87664.51939
88	87572.7423
89	87448.98971
90	87359.86747
91	87274.69306
92	87205.34277
93	87124.1295
94	86974.46465
95	86920.74265
96	86814.8401
97	86648.72169
98	86525.22644
99	86462.95111
100	86373.92498
101	86234.97654
102	86136.23086
103	86069.82254
104	85986.79662
105	85874.72489
106	85808.16455
107	85726.17165
108	85657.908
109	85575.90977
110	85509.20196
111	85365.37165
112	85242.4267
113	85125.97039
114	85017.68346
115	84973.44298
116	84908.96337
117	84843.72016
118	84765.05751
119	84652.02552
120	84578.95195
121	84515.65425
122	84408.36404
123	84337.39337
124	84212.65846
125	84085.82014
126	84036.88952
127	83971.83108
128	83923.20237
129	83888.33682
