iter	Passed	Remaining
0	7	7968
1	13	6833
2	18	6243
3	23	5949
4	28	5767
5	33	5583
6	37	5386
7	42	5315
8	47	5236
9	52	5158
10	55	5034
11	60	4959
12	64	4883
13	69	4914
14	74	4897
15	79	4875
16	83	4839
17	88	4834
18	94	4853
19	98	4829
20	103	4816
21	108	4823
22	112	4796
23	117	4767
24	121	4751
25	126	4720
26	130	4689
27	134	4654
28	138	4648
29	142	4609
30	146	4588
31	150	4556
32	154	4520
33	158	4499
34	162	4468
35	168	4504
36	172	4481
37	175	4447
38	179	4417
39	183	4409
40	188	4408
41	191	4377
42	196	4371
43	200	4356
44	203	4327
45	207	4302
46	211	4280
47	215	4276
48	219	4257
49	222	4231
50	226	4216
51	230	4205
52	234	4186
53	237	4166
54	241	4146
55	245	4132
56	248	4110
57	252	4096
58	255	4082
59	259	4062
60	264	4073
61	267	4053
62	271	4042
63	275	4028
64	279	4018
65	283	4014
66	287	4007
67	291	3995
68	295	3984
69	299	3976
70	304	3981
71	308	3972
72	312	3967
73	316	3964
74	320	3953
75	324	3940
76	327	3924
77	332	3926
78	337	3929
79	340	3918
80	344	3904
81	347	3890
82	350	3876
83	354	3862
84	357	3851
85	363	3861
86	367	3854
87	370	3844
88	374	3835
89	379	3834
90	383	3833
91	387	3821
92	390	3813
93	395	3809
94	398	3800
95	402	3791
96	406	3784
97	410	3780
98	414	3771
99	418	3765
100	422	3759
101	426	3754
102	430	3746
103	433	3738
104	437	3730
105	441	3724
106	444	3713
107	448	3704
108	452	3695
109	455	3687
110	459	3679
111	463	3672
112	466	3664
113	471	3660
114	474	3654
115	478	3644
116	481	3635
117	485	3629
118	489	3624
119	493	3618
120	497	3611
121	501	3606
122	505	3602
123	509	3596
124	513	3594
125	518	3593
126	521	3585
127	525	3579
128	529	3572
129	532	3565
130	537	3562
131	540	3557
132	545	3554
133	548	3546
134	553	3543
135	557	3542
136	561	3534
137	565	3530
138	569	3525
139	572	3518
140	576	3510
141	579	3502
142	582	3493
143	586	3484
144	589	3476
145	593	3470
146	596	3461
147	599	3453
148	605	3457
149	608	3449
150	612	3442
151	615	3434
152	619	3429
153	624	3429
154	628	3428
155	633	3425
156	637	3422
157	641	3417
158	644	3411
159	649	3408
160	653	3405
161	657	3400
162	661	3395
163	665	3389
164	668	3384
165	672	3381
166	677	3377
167	680	3371
168	684	3365
169	688	3360
170	691	3354
171	695	3350
172	700	3350
173	704	3345
174	708	3338
175	712	3334
176	715	3327
177	719	3323
178	723	3320
179	728	3316
180	732	3312
181	736	3308
182	740	3304
183	744	3300
184	748	3297
185	752	3293
186	756	3289
187	760	3283
188	764	3278
189	767	3272
190	771	3267
191	774	3259
192	778	3253
193	781	3247
194	785	3242
195	788	3235
196	792	3229
197	797	3231
198	802	3229
199	806	3224
200	810	3220
201	813	3215
202	818	3211
203	821	3206
204	825	3201
205	829	3197
206	833	3194
207	838	3192
208	841	3186
209	846	3183
210	850	3180
211	854	3175
212	858	3170
213	862	3166
214	866	3163
215	869	3156
216	872	3150
217	876	3143
218	881	3142
219	885	3139
220	889	3134
221	894	3134
222	898	3129
223	901	3124
224	905	3118
225	910	3117
226	914	3114
227	918	3109
228	921	3103
229	926	3102
230	930	3098
231	935	3096
232	939	3091
233	943	3089
234	947	3084
235	951	3079
236	955	3075
237	958	3069
238	962	3063
239	965	3056
240	968	3050
241	972	3046
242	976	3042
243	979	3036
244	983	3032
245	987	3027
246	992	3025
247	996	3021
248	1000	3018
249	1004	3013
250	1007	3007
251	1011	3001
252	1015	2996
253	1018	2990
254	1022	2986
255	1026	2982
256	1030	2978
257	1034	2973
258	1038	2969
259	1042	2966
260	1046	2964
261	1050	2959
262	1054	2955
263	1058	2950
264	1062	2945
265	1065	2939
266	1069	2935
267	1073	2931
268	1076	2926
269	1080	2920
270	1084	2916
271	1089	2914
272	1092	2910
273	1096	2905
274	1100	2900
275	1103	2895
276	1108	2892
277	1111	2887
278	1115	2882
279	1119	2878
280	1123	2875
281	1127	2871
282	1131	2865
283	1135	2862
284	1139	2857
285	1142	2852
286	1146	2847
287	1150	2844
288	1154	2840
289	1158	2836
290	1162	2831
291	1166	2827
292	1170	2823
293	1174	2820
294	1178	2815
295	1182	2812
296	1186	2809
297	1190	2805
298	1194	2801
299	1198	2796
300	1202	2793
301	1206	2788
302	1210	2784
303	1213	2779
304	1218	2776
305	1222	2771
306	1225	2767
307	1229	2762
308	1233	2758
309	1237	2754
310	1242	2751
311	1246	2747
312	1249	2742
313	1253	2737
314	1256	2732
315	1259	2726
316	1263	2722
317	1267	2717
318	1271	2713
319	1274	2709
320	1279	2706
321	1283	2702
322	1286	2696
323	1290	2691
324	1293	2687
325	1297	2682
326	1301	2679
327	1305	2674
328	1309	2670
329	1313	2666
330	1318	2664
331	1321	2659
332	1325	2655
333	1330	2652
334	1334	2649
335	1337	2643
336	1341	2638
337	1345	2635
338	1349	2631
339	1353	2627
340	1357	2623
341	1362	2620
342	1366	2617
343	1370	2613
344	1374	2610
345	1379	2607
346	1383	2603
347	1387	2598
348	1391	2595
349	1394	2590
350	1398	2585
351	1401	2580
352	1405	2575
353	1408	2571
354	1413	2568
355	1417	2565
356	1421	2560
357	1425	2556
358	1429	2552
359	1433	2548
360	1437	2543
361	1440	2539
362	1444	2535
363	1449	2533
364	1453	2529
365	1458	2526
366	1462	2521
367	1466	2517
368	1469	2513
369	1473	2509
370	1477	2505
371	1481	2500
372	1484	2496
373	1488	2491
374	1492	2487
375	1496	2482
376	1499	2477
377	1502	2473
378	1506	2468
379	1510	2464
380	1514	2460
381	1518	2456
382	1522	2452
383	1526	2448
384	1530	2444
385	1533	2439
386	1536	2434
387	1540	2430
388	1544	2425
389	1547	2420
390	1550	2415
391	1554	2410
392	1558	2406
393	1562	2403
394	1566	2398
395	1570	2395
396	1574	2391
397	1578	2386
398	1581	2382
399	1586	2379
400	1591	2376
401	1594	2371
402	1597	2366
403	1601	2362
404	1604	2357
405	1608	2353
406	1612	2349
407	1615	2344
408	1620	2341
409	1623	2336
410	1627	2332
411	1631	2328
412	1636	2325
413	1640	2321
414	1643	2317
415	1647	2312
416	1650	2308
417	1655	2304
418	1661	2304
419	1666	2301
420	1671	2298
421	1675	2295
422	1681	2293
423	1685	2289
424	1689	2286
425	1694	2283
426	1699	2281
427	1704	2277
428	1707	2273
429	1711	2268
430	1716	2265
431	1720	2262
432	1726	2260
433	1729	2255
434	1733	2251
435	1737	2247
436	1740	2242
437	1744	2238
438	1748	2234
439	1753	2231
440	1756	2227
441	1760	2222
442	1764	2218
443	1768	2214
444	1771	2209
445	1775	2205
446	1779	2201
447	1783	2197
448	1787	2193
449	1791	2189
450	1794	2184
451	1798	2180
452	1802	2176
453	1806	2172
454	1809	2167
455	1814	2164
456	1818	2160
457	1821	2155
458	1825	2151
459	1830	2148
460	1834	2144
461	1837	2140
462	1841	2136
463	1846	2132
464	1849	2128
465	1854	2124
466	1857	2120
467	1861	2116
468	1865	2112
469	1869	2108
470	1874	2104
471	1878	2101
472	1882	2097
473	1885	2092
474	1889	2088
475	1893	2084
476	1897	2080
477	1901	2076
478	1905	2072
479	1910	2069
480	1914	2065
481	1918	2061
482	1922	2057
483	1925	2053
484	1929	2049
485	1933	2044
486	1936	2039
487	1940	2035
488	1943	2031
489	1947	2027
490	1952	2023
491	1955	2019
492	1959	2015
493	1964	2012
494	1968	2008
495	1972	2003
496	1976	2000
497	1980	1996
498	1984	1992
499	1988	1988
500	1993	1985
501	1997	1981
502	2001	1977
503	2005	1973
504	2010	1970
505	2013	1966
